VMM=2, CKTPrunning=1, PDAC=40, XADC=239, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=199, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=210, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=238, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=195, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=170, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=143, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=208, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=242, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=170, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=144, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=210, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=239, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=146, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=238, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=143, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=169, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=219, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=152, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=237, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=239, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=174, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=192, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=144, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=144, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=208, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=238, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=219, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=174, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=239, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=144, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=200, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=145, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=218, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=146, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=217, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=219, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=195, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=241, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=219, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=143, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=170, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=209, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=240, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=219, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
